제품명,제조사,카테고리,성분,샘플추천지수,출처URL
판콜에스내복액,동화약품,종합감기약,아세트아미노펜|카페인무수물|클로르페니라민말레산염|DL-메틸에페드린염산염|구아이페네신,80,https://www.health.kr/
판콜에이내복액,동화약품,종합감기약,펜톡시베린시트르산염|아세트아미노펜|카페인무수물|클로르페니라민말레산염|구아이페네신|페닐레프린염산염,85,https://www.health.kr/
판피린큐액,동아제약,종합감기약,DL-메틸에페드린염산염|구아이페네신|티페피딘시트르산염|아세트아미노펜|카페인무수물|클로르페니라민말레산염,77,https://www.health.kr/
콜대원콜드큐시럽,대원제약,종합감기약,아세트아미노펜|카페인무수물|클로르페니라민말레산염|덱스트로메토르판브롬화수소산염수화물|DL-메틸에페드린염산염|구아이페네신,76,https://www.health.kr/
콜대원코프큐시럽,대원제약,기침·가래 감기약,아세트아미노펜|카페인무수물|덱스트로메토르판브롬화수소산염수화물|DL-메틸에페드린염산염|구아이페네신,87,https://www.health.kr/
콜대원노즈큐에스시럽,대원제약,코감기약,아세트아미노펜|카페인무수물|클로르페니라민말레산염|구아이페네신|슈도에페드린염산염,72,https://www.health.kr/
화이투벤큐연질캡슐,동화약품,종합감기약,아세트아미노펜|덱스트로메토르판브롬화수소산염수화물|DL-메틸에페드린염산염|구아이페네신|슈도에페드린염산염|트리프롤리딘염산염수화물,84,https://www.health.kr/
화이투벤큐코프연질캡슐,동화약품,기침·가래 감기약,아세트아미노펜|덱스트로메토르판브롬화수소산염수화물|구아이페네신|노스카핀염산염수화물|트리프롤리딘염산염수화물,86,https://www.health.kr/
화이투벤큐노즈연질캡슐,동화약품,코감기약,아세트아미노펜|덱스트로메토르판브롬화수소산염수화물|DL-메틸에페드린염산염|슈도에페드린염산염|트리프롤리딘염산염수화물,72,https://www.health.kr/
모드콜에스연질캡슐,종근당,종합감기약,아세트아미노펜|클로르페니라민말레산염|덱스트로메토르판브롬화수소산염수화물|DL-메틸에페드린염산염|구아이페네신|슈도에페드린염산염,83,https://www.health.kr/
타이레놀정500mg,한국존슨앤드존슨판매,해열진통제,아세트아미노펜,76,https://www.health.kr/
타이레놀8시간이알서방정,한국존슨앤드존슨판매,해열진통제,아세트아미노펜,76,https://www.health.kr/
타이레놀8시간이알서방정325mg,한국얀센,해열진통제,아세트아미노펜,82,https://www.health.kr/
어린이타이레놀현탁액,한국얀센,어린이 해열진통제,아세트아미노펜,84,https://www.health.kr/
우먼스타이레놀정,한국존슨앤드존슨판매,해열진통제,아세트아미노펜,87,https://www.health.kr/
게보린정,삼진제약,해열진통제,아세트아미노펜|이소프로필안티피린|카페인무수물,87,https://www.health.kr/
게보린브이정,삼진제약,해열진통제,아세트아미노펜,74,https://www.health.kr/
펜잘큐정,종근당,해열진통제,아세트아미노펜|에텐자미드|카페인무수물,81,https://www.health.kr/
펜잘나이트정,종근당,야간 해열진통제,아세트아미노펜|디펜히드라민시트르산염,76,https://www.health.kr/
탁센연질캡슐,녹십자,소염진통제,나프록센,74,https://www.health.kr/
탁센400이부프로펜연질캡슐,녹십자,소염진통제,이부프로펜,74,https://www.health.kr/
탁센덱시연질캡슐,녹십자,소염진통제,덱시부프로펜,72,https://www.health.kr/
탁센레이디연질캡슐,녹십자,생리통·진통제,이부프로펜|산화마그네슘|파마브롬,80,https://www.health.kr/
이지엔6애니연질캡슐,대웅제약,소염진통제,이부프로펜,86,https://www.health.kr/
이지엔6프로연질캡슐,대웅제약,소염진통제,덱시부프로펜,83,https://www.health.kr/
이지엔6스트롱연질캡슐,대웅제약,소염진통제,나프록센,83,https://www.health.kr/
이지엔6이브연질캡슐,대웅제약,생리통·진통제,이부프로펜|파마브롬,82,https://www.health.kr/
이지엔6나이트연질캡슐,대웅제약,야간 진통제,이부프로펜|디펜히드라민염산염,85,https://www.health.kr/
부루펜정200mg,삼일제약,소염진통제,이부프로펜,80,https://www.health.kr/
애드빌리퀴겔연질캡슐,헤일리온코리아,소염진통제,이부프로펜,83,https://www.health.kr/
아스피린프로텍트정100mg,바이엘코리아,항혈소판제,아스피린,80,https://www.health.kr/
지르텍정,한국유씨비제약,알레르기약,세티리진염산염,76,https://www.health.kr/
클라리틴정,바이엘코리아,알레르기약,로라타딘,74,https://www.health.kr/
알레그라정120mg,한독,알레르기약,펙소페나딘염산염,85,https://www.health.kr/
액티피드정,삼일제약,코감기·비염약,슈도에페드린염산염|트리프롤리딘염산염수화물,87,https://www.health.kr/
뮤테란캡슐200mg,한화제약,기침·가래약,아세틸시스테인,72,https://www.health.kr/
용각산,보령,기침·가래약,행인|감초가루|길경가루|세네가가루,88,https://www.health.kr/
용각산쿨과립,보령,기침·가래약,아선약가루|인삼가루|노스카핀|행인가루|감초가루|길경가루|세네가가루,85,https://www.health.kr/
베아제정,대웅제약,소화제,디아스타제·프로테아제·셀룰라제|리파제|판셀라제|판프로신|판크레아틴장용과립|시메티콘|우르소데옥시콜산,76,https://www.health.kr/
