성분명,분류,설명,출처URL
아세트아미노펜,해열·진통 성분,열을 낮추고 통증을 완화하는 데 사용되는 성분,https://www.health.kr/
카페인무수물,중추신경 자극 성분,일부 진통제·감기약에 보조 성분으로 사용,https://www.health.kr/
클로르페니라민말레산염,항히스타민 성분,콧물·재채기 등 알레르기 증상 완화에 사용,https://www.health.kr/
DL-메틸에페드린염산염,교감신경 자극 성분,일부 감기약에서 기침·코막힘 증상 완화에 사용,https://www.health.kr/
구아이페네신,거담 성분,가래 배출을 돕기 위해 사용,https://www.health.kr/
펜톡시베린시트르산염,진해 성분,기침을 억제하는 데 사용,https://www.health.kr/
페닐레프린염산염,비충혈 제거 성분,코막힘 완화에 사용,https://www.health.kr/
티페피딘시트르산염,진해 성분,기침 증상 완화에 사용,https://www.health.kr/
덱스트로메토르판브롬화수소산염수화물,진해 성분,기침을 억제하는 데 사용,https://www.health.kr/
슈도에페드린염산염,비충혈 제거 성분,코막힘 완화에 사용,https://www.health.kr/
트리프롤리딘염산염수화물,항히스타민 성분,콧물·재채기 등 증상 완화에 사용,https://www.health.kr/
노스카핀염산염수화물,진해 성분,기침 완화에 사용,https://www.health.kr/
이소프로필안티피린,해열·진통 성분,복합 진통제에 사용되는 진통 성분,https://www.health.kr/
에텐자미드,해열·진통 보조 성분,복합 진통제에 사용되는 진통 성분,https://www.health.kr/
디펜히드라민시트르산염,항히스타민·진정 성분,야간 통증 제품 등에 사용,https://www.health.kr/
나프록센,비스테로이드성 소염진통 성분,통증과 염증 완화에 사용,https://www.health.kr/
이부프로펜,비스테로이드성 소염진통 성분,통증·염증·발열 완화에 사용,https://www.health.kr/
덱시부프로펜,비스테로이드성 소염진통 성분,통증·염증·발열 완화에 사용,https://www.health.kr/
산화마그네슘,제산·완하 성분,제산 또는 변비 완화 목적으로 사용,https://www.health.kr/
파마브롬,이뇨 성분,월경 관련 부종 완화 목적으로 복합제에 사용,https://www.health.kr/
디펜히드라민염산염,항히스타민·진정 성분,알레르기 증상 완화 및 일부 야간 제품에 사용,https://www.health.kr/
아스피린,항혈소판·진통 성분,용량과 용도에 따라 혈소판 응집 억제 또는 진통 목적으로 사용,https://www.health.kr/
